City,Week of datebegin,Year of datebegin,Avg. AirQualityLevel
Amsterdam,12 February 2018,2018,42.6
Amsterdam,19 February 2018,2018,31.1
Amsterdam,26 February 2018,2018,23.0
Amsterdam,5 March 2018,2018,43.8
Amsterdam,12 March 2018,2018,25.7
Amsterdam,19 March 2018,2018,33.2
Amsterdam,26 March 2018,2018,37.8
Amsterdam,2 April 2018,2018,34.6
Amsterdam,9 April 2018,2018,33.4
Amsterdam,16 April 2018,2018,41.3
Amsterdam,23 April 2018,2018,23.4
Amsterdam,30 April 2018,2018,27.4
Amsterdam,7 May 2018,2018,35.2
Amsterdam,14 May 2018,2018,20.8
Amsterdam,21 May 2018,2018,26.1
Amsterdam,28 May 2018,2018,30.7
Amsterdam,4 June 2018,2018,20.9
