City,Week of datebegin,Year of datebegin,Avg. AirQualityLevel
Breda,12 February 2018,2018,39.1
Breda,19 February 2018,2018,28.1
Breda,26 February 2018,2018,23.2
Breda,5 March 2018,2018,33.9
Breda,12 March 2018,2018,24.3
Breda,19 March 2018,2018,24.9
Breda,26 March 2018,2018,31.0
Breda,2 April 2018,2018,26.7
Breda,9 April 2018,2018,30.0
Breda,16 April 2018,2018,36.5
Breda,23 April 2018,2018,20.4
Breda,30 April 2018,2018,20.3
Breda,7 May 2018,2018,27.4
Breda,14 May 2018,2018,13.3
Breda,21 May 2018,2018,22.0
Breda,28 May 2018,2018,24.5
Breda,4 June 2018,2018,15.3
Breda,11 February 2019,2019,51.4
Breda,18 February 2019,2019,39.3
Breda,25 February 2019,2019,42.4
Breda,4 March 2019,2019,15.5
Breda,11 March 2019,2019,15.6
Breda,18 March 2019,2019,34.5
Breda,25 March 2019,2019,28.0
Breda,1 April 2019,2019,27.6
Breda,8 April 2019,2019,18.3
Breda,15 April 2019,2019,24.7
Breda,22 April 2019,2019,20.4
Breda,29 April 2019,2019,18.8
Breda,6 May 2019,2019,24.4
Breda,13 May 2019,2019,16.6
Breda,20 May 2019,2019,23.4
Breda,27 May 2019,2019,19.6
Breda,3 June 2019,2019,19.1
Breda,10 February 2020,2020,15.6
Breda,17 February 2020,2020,14.7
Breda,24 February 2020,2020,18.8
Breda,2 March 2020,2020,23.4
Breda,9 March 2020,2020,16.1
Breda,16 March 2020,2020,18.4
Breda,23 March 2020,2020,14.4
Breda,30 March 2020,2020,19.6
Breda,6 April 2020,2020,21.0
Breda,13 April 2020,2020,17.1
Breda,20 April 2020,2020,12.7
Breda,27 April 2020,2020,17.9
Breda,4 May 2020,2020,17.8
Breda,11 May 2020,2020,14.2
Breda,18 May 2020,2020,19.6
