City,Week of datebegin,Year of datebegin,Avg. AirQualityLevel
Eindhoven,12 February 2018,2018,38.8
Eindhoven,19 February 2018,2018,27.7
Eindhoven,26 February 2018,2018,26.0
Eindhoven,5 March 2018,2018,29.4
Eindhoven,12 March 2018,2018,22.6
Eindhoven,19 March 2018,2018,26.3
Eindhoven,26 March 2018,2018,25.9
Eindhoven,2 April 2018,2018,24.2
Eindhoven,9 April 2018,2018,29.1
Eindhoven,16 April 2018,2018,32.7
Eindhoven,23 April 2018,2018,19.1
Eindhoven,30 April 2018,2018,17.7
Eindhoven,7 May 2018,2018,25.6
Eindhoven,14 May 2018,2018,20.1
Eindhoven,21 May 2018,2018,22.5
Eindhoven,28 May 2018,2018,26.5
Eindhoven,4 June 2018,2018,21.2
Eindhoven,11 February 2019,2019,45.0
Eindhoven,18 February 2019,2019,36.1
Eindhoven,25 February 2019,2019,40.6
Eindhoven,4 March 2019,2019,14.1
Eindhoven,11 March 2019,2019,15.7
Eindhoven,18 March 2019,2019,34.3
Eindhoven,25 March 2019,2019,29.9
Eindhoven,1 April 2019,2019,24.3
Eindhoven,8 April 2019,2019,18.3
Eindhoven,15 April 2019,2019,22.6
Eindhoven,22 April 2019,2019,18.2
Eindhoven,29 April 2019,2019,21.4
Eindhoven,6 May 2019,2019,23.1
Eindhoven,13 May 2019,2019,18.8
Eindhoven,20 May 2019,2019,21.6
Eindhoven,27 May 2019,2019,17.0
Eindhoven,3 June 2019,2019,16.5
Eindhoven,10 February 2020,2020,14.2
Eindhoven,17 February 2020,2020,14.0
Eindhoven,24 February 2020,2020,17.8
Eindhoven,2 March 2020,2020,22.4
Eindhoven,9 March 2020,2020,14.7
Eindhoven,16 March 2020,2020,19.4
Eindhoven,23 March 2020,2020,14.1
Eindhoven,30 March 2020,2020,20.5
Eindhoven,6 April 2020,2020,21.1
Eindhoven,13 April 2020,2020,18.0
Eindhoven,20 April 2020,2020,15.2
Eindhoven,27 April 2020,2020,14.5
Eindhoven,4 May 2020,2020,18.4
Eindhoven,11 May 2020,2020,16.5
Eindhoven,18 May 2020,2020,19.4
