City,Week of datebegin,Year of datebegin,Avg. AirQualityLevel
Groningen,12 February 2018,2018,26.4
Groningen,19 February 2018,2018,22.7
Groningen,26 February 2018,2018,12.1
Groningen,5 March 2018,2018,26.3
Groningen,12 March 2018,2018,14.2
Groningen,19 March 2018,2018,19.4
Groningen,26 March 2018,2018,17.6
Groningen,2 April 2018,2018,19.7
Groningen,9 April 2018,2018,16.9
Groningen,16 April 2018,2018,20.6
Groningen,23 April 2018,2018,12.4
Groningen,30 April 2018,2018,14.5
Groningen,7 May 2018,2018,16.0
Groningen,14 May 2018,2018,12.3
Groningen,21 May 2018,2018,14.4
Groningen,28 May 2018,2018,16.9
Groningen,4 June 2018,2018,13.9
Groningen,11 February 2019,2019,34.2
Groningen,18 February 2019,2019,24.0
Groningen,25 February 2019,2019,34.0
Groningen,4 March 2019,2019,13.3
Groningen,11 March 2019,2019,10.9
Groningen,18 March 2019,2019,18.3
Groningen,25 March 2019,2019,15.3
Groningen,1 April 2019,2019,18.6
Groningen,8 April 2019,2019,13.0
Groningen,15 April 2019,2019,15.3
Groningen,22 April 2019,2019,14.8
Groningen,29 April 2019,2019,11.6
Groningen,6 May 2019,2019,15.6
Groningen,13 May 2019,2019,12.7
Groningen,20 May 2019,2019,13.0
Groningen,27 May 2019,2019,12.9
Groningen,3 June 2019,2019,13.8
Groningen,10 February 2020,2020,11.9
Groningen,17 February 2020,2020,10.4
Groningen,24 February 2020,2020,14.3
Groningen,2 March 2020,2020,18.4
Groningen,9 March 2020,2020,12.2
Groningen,16 March 2020,2020,11.6
Groningen,23 March 2020,2020,11.4
Groningen,30 March 2020,2020,10.9
Groningen,6 April 2020,2020,14.9
Groningen,13 April 2020,2020,8.6
Groningen,20 April 2020,2020,8.2
Groningen,27 April 2020,2020,10.2
Groningen,4 May 2020,2020,12.1
Groningen,11 May 2020,2020,8.8
Groningen,18 May 2020,2020,12.1
