City,Week of datebegin,Year of datebegin,Avg. AirQualityLevel
Heerlen,12 February 2018,2018,28.0
Heerlen,19 February 2018,2018,29.2
Heerlen,26 February 2018,2018,23.2
Heerlen,5 March 2018,2018,20.2
Heerlen,12 March 2018,2018,19.9
Heerlen,19 March 2018,2018,24.8
Heerlen,26 March 2018,2018,18.7
Heerlen,2 April 2018,2018,19.0
Heerlen,9 April 2018,2018,27.1
Heerlen,16 April 2018,2018,28.2
Heerlen,23 April 2018,2018,14.2
Heerlen,30 April 2018,2018,16.1
Heerlen,7 May 2018,2018,21.5
Heerlen,14 May 2018,2018,13.8
Heerlen,21 May 2018,2018,24.5
Heerlen,28 May 2018,2018,20.7
Heerlen,4 June 2018,2018,20.2
Heerlen,11 February 2019,2019,46.3
Heerlen,18 February 2019,2019,31.1
Heerlen,25 February 2019,2019,36.9
Heerlen,4 March 2019,2019,10.4
Heerlen,11 March 2019,2019,11.8
Heerlen,18 March 2019,2019,36.1
Heerlen,25 March 2019,2019,30.2
Heerlen,1 April 2019,2019,27.6
Heerlen,8 April 2019,2019,24.3
Heerlen,15 April 2019,2019,28.6
Heerlen,22 April 2019,2019,17.5
Heerlen,29 April 2019,2019,21.5
Heerlen,6 May 2019,2019,21.8
Heerlen,13 May 2019,2019,24.7
Heerlen,20 May 2019,2019,26.4
Heerlen,27 May 2019,2019,19.2
Heerlen,3 June 2019,2019,16.6
Heerlen,10 February 2020,2020,10.5
Heerlen,17 February 2020,2020,11.2
Heerlen,24 February 2020,2020,12.5
Heerlen,2 March 2020,2020,18.7
Heerlen,9 March 2020,2020,11.0
Heerlen,16 March 2020,2020,18.8
Heerlen,23 March 2020,2020,19.5
Heerlen,30 March 2020,2020,21.4
Heerlen,6 April 2020,2020,22.7
Heerlen,13 April 2020,2020,21.2
Heerlen,20 April 2020,2020,16.4
Heerlen,27 April 2020,2020,13.8
Heerlen,4 May 2020,2020,24.6
Heerlen,11 May 2020,2020,15.7
Heerlen,18 May 2020,2020,19.1
