City,Week of datebegin,Year of datebegin,Avg. AirQualityLevel
Nijmegen,12 February 2018,2018,35.3
Nijmegen,19 February 2018,2018,29.4
Nijmegen,26 February 2018,2018,24.0
Nijmegen,5 March 2018,2018,27.2
Nijmegen,12 March 2018,2018,21.0
Nijmegen,19 March 2018,2018,29.4
Nijmegen,26 March 2018,2018,27.8
Nijmegen,2 April 2018,2018,24.4
Nijmegen,9 April 2018,2018,29.0
Nijmegen,16 April 2018,2018,31.0
Nijmegen,23 April 2018,2018,20.9
Nijmegen,30 April 2018,2018,21.4
Nijmegen,7 May 2018,2018,25.6
Nijmegen,14 May 2018,2018,23.2
Nijmegen,21 May 2018,2018,26.9
Nijmegen,28 May 2018,2018,27.7
Nijmegen,4 June 2018,2018,25.5
Nijmegen,11 February 2019,2019,43.8
Nijmegen,18 February 2019,2019,35.3
Nijmegen,25 February 2019,2019,41.7
Nijmegen,4 March 2019,2019,15.0
Nijmegen,11 March 2019,2019,15.6
Nijmegen,18 March 2019,2019,33.2
Nijmegen,25 March 2019,2019,28.2
Nijmegen,1 April 2019,2019,22.7
Nijmegen,8 April 2019,2019,21.5
Nijmegen,15 April 2019,2019,26.1
Nijmegen,22 April 2019,2019,17.9
Nijmegen,29 April 2019,2019,22.6
Nijmegen,6 May 2019,2019,22.7
Nijmegen,13 May 2019,2019,22.3
Nijmegen,20 May 2019,2019,21.9
Nijmegen,27 May 2019,2019,19.5
Nijmegen,3 June 2019,2019,17.4
Nijmegen,10 February 2020,2020,14.9
Nijmegen,17 February 2020,2020,13.8
Nijmegen,24 February 2020,2020,17.8
Nijmegen,2 March 2020,2020,22.3
Nijmegen,9 March 2020,2020,16.2
Nijmegen,16 March 2020,2020,19.4
Nijmegen,23 March 2020,2020,17.2
Nijmegen,30 March 2020,2020,21.6
Nijmegen,6 April 2020,2020,23.0
Nijmegen,13 April 2020,2020,19.5
Nijmegen,20 April 2020,2020,17.4
Nijmegen,27 April 2020,2020,15.3
Nijmegen,4 May 2020,2020,22.2
Nijmegen,11 May 2020,2020,19.1
Nijmegen,18 May 2020,2020,19.1
