City,Week of datebegin,Year of datebegin,Avg. AirQualityLevel
Rotterdam,26 February 2018,2018,26.1
Rotterdam,19 February 2018,2018,33.5
Rotterdam,12 February 2018,2018,45.8
Rotterdam,5 March 2018,2018,46.0
Rotterdam,12 March 2018,2018,31.0
Rotterdam,19 March 2018,2018,33.9
Rotterdam,26 March 2018,2018,43.2
Rotterdam,2 April 2018,2018,34.8
Rotterdam,9 April 2018,2018,36.5
Rotterdam,16 April 2018,2018,44.0
Rotterdam,23 April 2018,2018,25.8
Rotterdam,30 April 2018,2018,27.1
Rotterdam,7 May 2018,2018,36.0
Rotterdam,14 May 2018,2018,19.0
Rotterdam,21 May 2018,2018,27.5
Rotterdam,28 May 2018,2018,33.5
Rotterdam,4 June 2018,2018,23.7
Rotterdam,11 February 2019,2019,55.3
Rotterdam,18 February 2019,2019,50.8
Rotterdam,25 February 2019,2019,49.0
Rotterdam,4 March 2019,2019,23.4
Rotterdam,11 March 2019,2019,22.8
Rotterdam,18 March 2019,2019,41.7
Rotterdam,25 March 2019,2019,31.4
Rotterdam,1 April 2019,2019,32.2
Rotterdam,8 April 2019,2019,22.9
Rotterdam,15 April 2019,2019,29.9
Rotterdam,22 April 2019,2019,23.6
Rotterdam,29 April 2019,2019,17.6
Rotterdam,6 May 2019,2019,22.1
Rotterdam,13 May 2019,2019,17.6
Rotterdam,20 May 2019,2019,22.4
Rotterdam,27 May 2019,2019,23.6
Rotterdam,3 June 2019,2019,22.9
Rotterdam,10 February 2020,2020,18.9
Rotterdam,17 February 2020,2020,19.0
Rotterdam,24 February 2020,2020,23.3
Rotterdam,2 March 2020,2020,27.6
Rotterdam,9 March 2020,2020,23.0
Rotterdam,16 March 2020,2020,22.8
Rotterdam,23 March 2020,2020,15.1
Rotterdam,30 March 2020,2020,20.5
Rotterdam,6 April 2020,2020,28.2
Rotterdam,13 April 2020,2020,14.3
Rotterdam,20 April 2020,2020,13.9
Rotterdam,27 April 2020,2020,21.9
Rotterdam,4 May 2020,2020,14.6
Rotterdam,11 May 2020,2020,20.4
Rotterdam,18 May 2020,2020,29.7
