City,Week of datebegin,Year of datebegin,Avg. AirQualityLevel
Utrecht,12 February 2018,2018,41.4
Utrecht,19 February 2018,2018,26.4
Utrecht,26 February 2018,2018,20.1
Utrecht,5 March 2018,2018,35.2
Utrecht,12 March 2018,2018,21.4
Utrecht,19 March 2018,2018,23.5
Utrecht,26 March 2018,2018,29.1
Utrecht,2 April 2018,2018,28.8
Utrecht,9 April 2018,2018,26.9
Utrecht,16 April 2018,2018,34.6
Utrecht,23 April 2018,2018,19.3
Utrecht,30 April 2018,2018,19.4
Utrecht,7 May 2018,2018,24.5
Utrecht,14 May 2018,2018,12.3
Utrecht,21 May 2018,2018,19.6
Utrecht,28 May 2018,2018,21.4
Utrecht,4 June 2018,2018,11.8
Utrecht,11 February 2019,2019,48.0
Utrecht,18 February 2019,2019,39.4
Utrecht,25 February 2019,2019,40.0
Utrecht,4 March 2019,2019,16.2
Utrecht,11 March 2019,2019,15.6
Utrecht,18 March 2019,2019,29.3
Utrecht,25 March 2019,2019,23.6
Utrecht,1 April 2019,2019,22.5
Utrecht,8 April 2019,2019,13.5
Utrecht,15 April 2019,2019,17.8
Utrecht,22 April 2019,2019,16.8
Utrecht,29 April 2019,2019,14.2
Utrecht,6 May 2019,2019,20.2
Utrecht,13 May 2019,2019,12.8
Utrecht,20 May 2019,2019,21.1
Utrecht,27 May 2019,2019,16.3
Utrecht,3 June 2019,2019,16.7
Utrecht,10 February 2020,2020,17.0
Utrecht,17 February 2020,2020,14.0
Utrecht,24 February 2020,2020,20.0
Utrecht,2 March 2020,2020,22.7
Utrecht,9 March 2020,2020,17.2
Utrecht,16 March 2020,2020,15.2
Utrecht,23 March 2020,2020,14.7
Utrecht,30 March 2020,2020,19.4
Utrecht,6 April 2020,2020,19.2
Utrecht,13 April 2020,2020,12.9
Utrecht,20 April 2020,2020,9.5
Utrecht,27 April 2020,2020,14.3
Utrecht,4 May 2020,2020,13.5
Utrecht,11 May 2020,2020,13.6
Utrecht,18 May 2020,2020,17.8
