City,Week of datebegin,Year of datebegin,Avg. AirQualityLevel
's-Gravenhage,12 February 2018,2018,40.6
's-Gravenhage,19 February 2018,2018,31.9
's-Gravenhage,26 February 2018,2018,25.2
's-Gravenhage,5 March 2018,2018,44.3
's-Gravenhage,12 March 2018,2018,27.4
's-Gravenhage,19 March 2018,2018,28.3
's-Gravenhage,26 March 2018,2018,37.1
's-Gravenhage,2 April 2018,2018,30.2
's-Gravenhage,9 April 2018,2018,33.9
's-Gravenhage,16 April 2018,2018,39.8
's-Gravenhage,23 April 2018,2018,21.8
's-Gravenhage,30 April 2018,2018,23.8
's-Gravenhage,7 May 2018,2018,27.4
's-Gravenhage,14 May 2018,2018,14.1
's-Gravenhage,21 May 2018,2018,23.2
's-Gravenhage,28 May 2018,2018,25.6
's-Gravenhage,4 June 2018,2018,14.1
's-Gravenhage,11 February 2019,2019,51.6
's-Gravenhage,18 February 2019,2019,45.6
's-Gravenhage,25 February 2019,2019,46.3
's-Gravenhage,4 March 2019,2019,19.3
's-Gravenhage,11 March 2019,2019,18.0
's-Gravenhage,18 March 2019,2019,35.1
's-Gravenhage,25 March 2019,2019,28.3
's-Gravenhage,1 April 2019,2019,30.0
's-Gravenhage,8 April 2019,2019,21.9
's-Gravenhage,15 April 2019,2019,24.6
's-Gravenhage,22 April 2019,2019,21.0
's-Gravenhage,29 April 2019,2019,16.0
's-Gravenhage,6 May 2019,2019,20.0
's-Gravenhage,13 May 2019,2019,17.5
's-Gravenhage,20 May 2019,2019,21.6
's-Gravenhage,27 May 2019,2019,19.8
's-Gravenhage,3 June 2019,2019,17.9
's-Gravenhage,3 June 2019,2019,17.10
's-Gravenhage,3 June 2019,2019,17.11
's-Gravenhage,3 June 2019,2019,17.12
's-Gravenhage,10 February 2020,2020,16.6
's-Gravenhage,17 February 2020,2020,14.2
's-Gravenhage,24 February 2020,2020,18.1
's-Gravenhage,2 March 2020,2020,23.3
's-Gravenhage,9 March 2020,2020,19.8
's-Gravenhage,16 March 2020,2020,18.6
's-Gravenhage,23 March 2020,2020,17.1
's-Gravenhage,30 March 2020,2020,21.0
's-Gravenhage,6 April 2020,2020,27.2
's-Gravenhage,13 April 2020,2020,14.6
's-Gravenhage,20 April 2020,2020,12.6
's-Gravenhage,27 April 2020,2020,16.4
